locus_tag,CH4_1000ppm,CH4_500ppm,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS00005,-0.08117298002089246,0.38647566398991806,-0.8000146135432598,-0.9462432418930966,-0.5063456987258814,-0.4396528805411517,-0.4930954993939233,-0.43625976134644695,-0.4347291928300853,-0.7596458139760887,-0.22398879251458492,-0.033140571751564,0.5205926421030758,-0.5389186230417629,-0.3387036658122161,-0.3945608636699282,-2.3281657262447557,-0.03499328356600425,-0.3051374682139101,-3.7007434154171886e-16,-2.56069217871854
EQU24_RS00010,-0.6130724892626618,-0.5813132204761722,0.1134835616941876,-1.457015646592419,-0.26400176164605815,-0.209007231695128,-0.2965715266599682,-0.45906388797900677,-0.4021358351058664,-0.19874003903917448,0.013782919367734348,0.4842916817818212,0.932400234958249,-0.6406757670966399,-0.01492743395382412,-0.31987941107978735,-2.769694886496977,0.29642248229000284,-0.08186800416160933,0.0,-2.9172638545146397
EQU24_RS00015,-0.5669395767761589,-0.1754482863459912,-1.3059311216700302,-0.6693221062383911,-0.4810428118031518,-0.46929954023286324,-0.3912499456707085,-0.9973250910234834,-0.6073360835570905,-1.3503396457207972,0.16205604822801778,0.06475486608492087,0.611000978877084,-0.668261888312531,-0.30028452116720494,-0.16480934521658042,-2.6394387115070685,-0.03098638082104063,-0.7865802860276627,-4.440892098500626e-16,-2.6011052660243843
EQU24_RS00020,-0.022693070638491797,-0.24329387561552496,0.33460182086441437,-1.7559229679118,0.004020357635377225,-0.5223089813888141,-0.16598283188923943,-0.24889559991710275,-0.21605107689360975,-0.1515828551906675,0.33266616462733545,0.13189911278491576,0.37704031277910244,-0.5185577564056627,-0.25525626111946254,-0.3861815350291584,-2.631967111999899,0.05763683943340186,0.08432553463108139,-1.4802973661668753e-16,-1.9140156320642956
EQU24_RS00035,0.6035278494128131,0.28462609678230955,-1.0371390911385925,-0.7421223120383915,-0.34450825506328675,-0.2788055439215329,0.3003718165329232,-0.3529476445251789,0.4064436444800997,-0.5652774436755776,-0.07552874525936826,0.22688719895229054,0.43465781245128765,0.04028200951390648,-0.3095546491450334,-0.09575925488718255,-2.0429008627974334,0.10540524483515894,-0.18770569843660656,7.401486830834377e-17,-1.3291859726255093
EQU24_RS00040,-0.7124312255384757,-0.838934524016204,0.483219321733221,-0.9527447746945091,-0.15232314323715945,0.7043413149775052,0.6253483491246421,0.4125393740259682,0.4943044680055732,0.19817529407209644,0.7679063805522275,1.357813962890338,0.9431994707857572,0.006513845440278498,0.8317369589201145,-0.33609844586249643,-2.163602959429693,1.0383756215737734,0.9440952116137722,-2.220446049250313e-16,-2.0766732517422044
EQU24_RS00045,-0.390970597192984,-0.6265243511568419,0.6142637089752694,-1.1002476077549022,-0.06393279909914718,0.8453355347692875,0.289503086300723,0.8384825598959935,0.1709418123738673,0.6689268608348713,1.2069825918137722,1.5591900657170104,0.8985932951940447,-0.2585058833793441,0.9429226695967847,-0.3608595736448537,-2.606431059758807,1.0243835964544714,0.856718384602126,1.0917193075480707e-15,-1.1310149126290168
EQU24_RS00050,0.11490002092443241,-0.1232175458912328,0.7701551877335344,-0.6916971706402494,-0.14923113756836037,0.4215532970124138,0.1208881829338698,0.558637683467714,0.06709563945351107,0.2941344075168453,1.1816480357344803,1.020295044064649,0.6702900853462377,-0.2189356793636249,0.5586181257564484,-0.2170814322460437,-3.1572839235561623,0.6610124114552354,0.383364220863021,-2.590520390792032e-16,-1.1262770053245748
EQU24_RS00055,-0.24982627862827833,-0.6049725593354045,0.6599339677583289,-0.6612776171061411,-0.10554357925953206,0.5551800221703838,0.5183104377168901,0.5509068338662371,0.35924102951934583,0.32550523528327013,1.2713801565225848,0.9100508432186167,0.6935841577560147,0.07076904159071429,0.6911992877850204,-0.1870789319510117,-5.015113788362211,0.7860305530457836,0.2728214741219539,-1.4802973661668753e-16,-1.2390116421499195
EQU24_RS00060,-0.43784946401855285,-0.482264911872029,-0.8307283263900747,-1.1387923196289498,-0.042144137046011165,-0.1973231727435921,0.48760351749276315,0.024856232852151106,0.39878470178754116,-0.1412686226892097,-0.047774639013221876,0.1822911444217219,-0.2585362518261096,-0.8576449760390686,-0.11031107668956208,0.1526865248809012,-1.4379282613149604,0.09859518783990533,0.3512038167661271,3.3306690738754696e-16,-2.549743843638872
