model_desc	model_type	lr	sampler	data_aug	epoch_stop	best_val_loss	acc	mcc	mi_p	mi_r	mi_f1	ma_p	ma_r	ma_f1
Kmer3_lr0.01_rebalancedSampler_no_aug	Kmer3	0.01	rebalanced	no_aug	187	0.5107297356259238	0.8530259365994236	-0.01954996454596212	0.8530259365994236	0.8530259365994236	0.8530259365994236	0.3254377736085053	0.3280528931487398	0.3248302905089177
Kmer6_lr0.01_rebalancedSampler_no_aug	Kmer6	0.01	rebalanced	no_aug	99	0.432365684756628	0.899135446685879	-0.01494533271199717	0.899135446685879	0.899135446685879	0.899135446685879	0.30057803468208094	0.33226837060702874	0.31562974203338395
LinearDeep_lr0.001_rebalancedSampler_no_aug	LinearDeep	0.001	rebalanced	no_aug	900	0.5029805472673532	0.861671469740634	-0.057001402070669976	0.861671469740634	0.861671469740634	0.861671469740634	0.29929929929929927	0.3184238551650692	0.3085655314757482
CNN32_lr0.001_rebalancedSampler_no_aug	CNN32	0.001	rebalanced	no_aug	4479	0.47566863765634104	0.8587896253602305	0.018188500217391736	0.8587896253602305	0.8587896253602305	0.8587896253602305	0.3378500451671183	0.3430067447639333	0.33959834583859544
CNN128_lr0.001_rebalancedSampler_no_aug	CNN128	0.001	rebalanced	no_aug	2310	0.5131545448165805	0.829971181556196	-0.024397109426412655	0.829971181556196	0.829971181556196	0.8299711815561959	0.3157685226650744	0.31953319133830316	0.3175574308485701
Kmer3_lr0.001_rebalancedSampler_no_aug	Kmer3	0.001	rebalanced	no_aug	1848	0.6276220804676199	0.8270893371757925	0.08124733814463764	0.8270893371757925	0.8270893371757925	0.8270893371757926	0.36989247311827955	0.36976393326233586	0.3697928609646106
Kmer6_lr0.001_rebalancedSampler_no_aug	Kmer6	0.001	rebalanced	no_aug	853	0.4308288736370867	0.8962536023054755	0.05978339350695646	0.8962536023054755	0.8962536023054755	0.8962536023054755	0.38459669582118555	0.3440273340433085	0.33885017421602787
LinearDeep_lr0.01_defaultSampler_revslide50	LinearDeep	0.01	default	revslide50	2	0.378839446849026	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.01_defaultSampler_revslide50	CNN32	0.01	default	revslide50	68	0.37903246231999793	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.01_defaultSampler_revslide50	CNN128	0.01	default	revslide50	2	0.3767591022620627	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.01_defaultSampler_revslide50	Kmer3	0.01	default	revslide50	5	0.3740370879942814	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.01_defaultSampler_revslide50	Kmer6	0.01	default	revslide50	6	0.38898969005782597	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.001_defaultSampler_revslide50	LinearDeep	0.001	default	revslide50	47	0.37969314218941613	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN32_lr0.001_defaultSampler_revslide50	CNN32	0.001	default	revslide50	13	0.3780806499187129	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
CNN128_lr0.001_defaultSampler_revslide50	CNN128	0.001	default	revslide50	152	0.37965121873861085	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer3_lr0.001_defaultSampler_revslide50	Kmer3	0.001	default	revslide50	140	0.37906518415346613	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
Kmer6_lr0.001_defaultSampler_revslide50	Kmer6	0.001	default	revslide50	71	0.38765434229408285	0.9020172910662824	0.0	0.9020172910662824	0.9020172910662824	0.9020172910662824	0.30067243035542746	0.3333333333333333	0.31616161616161614
LinearDeep_lr0.01_rebalancedSampler_revslide50	LinearDeep	0.01	rebalanced	revslide50	20	0.7306915349850394	0.7175792507204611	-0.07727027573843583	0.7175792507204611	0.7175792507204611	0.7175792507204611	0.30324074074074076	0.2779996450124245	0.2885385385385385
